rank,cn_title,eng_title,more_title,country,eng_dir,score,num_of_reviews,year,img,url
184,魔女宅急便,魔女の宅急便,魔女琪琪(台)  /  小魔女限时专送,Japan,Hayao Miyazaki,8.6,273122,1989,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456676352.jpg,https://movie.douban.com/subject/1307811/
185,魂断蓝桥,Waterloo Bridge,滑铁卢桥  /  断桥残梦,U.S.,Mervyn LeRoy,8.8,161760,1940,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2351134499.jpg,https://movie.douban.com/subject/1293964/
186,猜火车,Trainspotting,迷幻列车(港)  /  定位的火车,U.K.,Danny Boyle,8.5,302494,1996,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p513567548.jpg,https://movie.douban.com/subject/1292528/
187,恐怖游轮,Triangle,汪洋血迷宮(台)  /  轮回三角,U.K.,Christopher Smith,8.4,447812,2009,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p462470694.jpg,https://movie.douban.com/subject/3011051/
188,完美陌生人,Perfetti sconosciuti,完美谎情(港)  /  波动的信息分享,Italy,Paolo Genovese,8.6,326027,2016,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2522331945.jpg,https://movie.douban.com/subject/26614893/
189,哪吒闹海,Prince Nezha's Triumph Against Dragon King  /  Nezha nao hai,Prince Nezha's Triumph Against Dragon King  /  Nezha nao hai,China,Dingxian Yan /  Shuchen Wang,9.0,118590,1979,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2516566783.jpg,https://movie.douban.com/subject/1307315/
190,罗生门,羅生門,Rashomon,Japan,Akira Kurosawa,8.8,171386,1950,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1864872647.jpg,https://movie.douban.com/subject/1291879/
191,海街日记,海街diary,海街女孩日记(港)  /  Kamakura Diary,Japan,Hirokazu Koreeda,8.7,206438,2015,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2232247487.jpg,https://movie.douban.com/subject/25895901/
192,黑客帝国3：矩阵革命,The Matrix Revolutions,骇客任务完结篇：最后战役  /  廿二世纪杀人网络3：惊变世纪,U.S.,Andy Wachowski / Larry Wachowski,8.6,218442,2003,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p443461818.jpg,https://movie.douban.com/subject/1302467/
193,阿飞正传,阿飛正傳,Days of Being Wild,Hong Kong,Kar Wai Wong,8.5,288388,1990,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2525770523.jpg,https://movie.douban.com/subject/1305690/
194,天书奇谭,The Legend of Sealed Book  /  Secrets of the Heavenly Book,The Legend of Sealed Book  /  Secrets of the Heavenly Book,,Shuchen Wang /  Yunda Qian,9.1,85363,1983,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2515539487.jpg,https://movie.douban.com/subject/1428581/
