title,rank,director,year,url,img
THE SKIN I LIVE IN,873,PEDRO ALMODÓVAR,2011,http://mubi.com/cast/pedro-almodovar,https://assets.mubi.com/images/film/39860/image-w384.jpg?1543888831
CONTROL,874,ANTON CORBIJN,2007,http://mubi.com/cast/anton-corbijn,https://assets.mubi.com/images/film/1924/image-w384.jpg?1548085923
THE FLY,875,DAVID CRONENBERG,1986,http://mubi.com/cast/david-cronenberg,https://assets.mubi.com/images/film/19088/image-w384.jpg?1546815612
THE TEXAS CHAINSAW MASSACRE,876,TOBE HOOPER,1974,http://mubi.com/cast/tobe-hooper,https://assets.mubi.com/images/film/1445/image-w384.jpg?1543381242
TWIN PEAKS: FIRE WALK WITH ME,877,DAVID LYNCH,1992,http://mubi.com/cast/david-lynch,https://assets.mubi.com/images/film/2270/image-w384.jpg?1553076132
CLOSE ENCOUNTERS OF THE THIRD KIND,878,STEVEN SPIELBERG,1977,http://mubi.com/cast/steven-spielberg,https://assets.mubi.com/images/film/3442/image-w384.jpg?1546815614
GOOD BYE LENIN!,879,WOLFGANG BECKER,2003,http://mubi.com/cast/wolfgang-becker,https://assets.mubi.com/images/film/14866/image-w384.jpg?1546815623
MY OWN PRIVATE IDAHO,880,GUS VAN SANT,1991,http://mubi.com/cast/gus-van-sant,https://assets.mubi.com/images/film/249/image-w384.jpg?1546815651
GUMMO,881,HARMONY KORINE,1997,http://mubi.com/cast/harmony-korine,https://assets.mubi.com/images/film/4058/image-w384.jpg?1546815657
THE MAN WHO WASN'T THERE,882,JOEL COEN,2001,http://mubi.com/cast/joel-coen,https://assets.mubi.com/images/film/1003/image-w384.jpg?1546815621
PINOCCHIO,883,BEN SHARPSTEEN,1940,http://mubi.com/cast/ben-sharpsteen,https://assets.mubi.com/images/film/3324/image-w384.jpg?1546815611
THE CITY OF LOST CHILDREN,884,MARC CARO,1995,http://mubi.com/cast/marc-caro,https://assets.mubi.com/images/film/482/image-w384.jpg?1545724801
THE BLUES BROTHERS,885,JOHN LANDIS,1980,http://mubi.com/cast/john-landis,https://assets.mubi.com/images/film/3367/image-w384.jpg?1548273603
THE LAST TEMPTATION OF CHRIST,886,MARTIN SCORSESE,1988,http://mubi.com/cast/martin-scorsese,https://assets.mubi.com/images/film/612/image-w384.jpg?1555577297
EASY RIDER,887,DENNIS HOPPER,1969,http://mubi.com/cast/dennis-hopper,https://assets.mubi.com/images/film/21439/image-w384.jpg?1546815613
BIUTIFUL,888,ALEJANDRO GONZÁLEZ IÑÁRRITU,2010,http://mubi.com/cast/alejandro-gonzalez-inarritu,https://assets.mubi.com/images/film/4125/image-w384.jpg?1534423291
SYMPATHY FOR LADY VENGEANCE,889,PARK CHAN-WOOK,2005,http://mubi.com/cast/park-chan-wook,https://assets.mubi.com/images/film/2336/image-w384.jpg?1551809756
THEY LIVE,890,JOHN CARPENTER,1988,http://mubi.com/cast/john-carpenter,https://assets.mubi.com/images/film/3030/image-w384.jpg?1551787258
THE LAST EMPEROR,891,BERNARDO BERTOLUCCI,1987,http://mubi.com/cast/bernardo-bertolucci,https://assets.mubi.com/images/film/254/image-w384.jpg?1535545259
THE ICE STORM,892,ANG LEE,1997,http://mubi.com/cast/ang-lee,https://assets.mubi.com/images/film/336/image-w384.jpg?1545278401
INSIDE OUT,893,PETE DOCTER,2015,http://mubi.com/cast/pete-docter,https://assets.mubi.com/images/film/117593/image-w384.jpg?1546574420
TAKE SHELTER,894,JEFF NICHOLS,2011,http://mubi.com/cast/jeff-nichols,https://assets.mubi.com/images/film/36551/image-w384.jpg?1535069068
BAD LIEUTENANT,895,ABEL FERRARA,1992,http://mubi.com/cast/abel-ferrara,https://assets.mubi.com/images/film/3834/image-w384.jpg?1553278113
THE INSIDER,896,MICHAEL MANN,1999,http://mubi.com/cast/michael-mann,https://assets.mubi.com/images/film/3203/image-w384.jpg?1546819218
IDA,897,PAWEŁ PAWLIKOWSKI,2013,http://mubi.com/cast/pawel-pawlikowski,https://assets.mubi.com/images/film/109808/image-w384.jpg?1545307253
I AM LOVE,898,LUCA GUADAGNINO,2009,http://mubi.com/cast/luca-guadagnino,https://assets.mubi.com/images/film/20273/image-w384.jpg?1558441432
CARNIVAL OF SOULS,899,HERK HARVEY,1962,http://mubi.com/cast/herk-harvey,https://assets.mubi.com/images/film/607/image-w384.jpg?1544515202
PATERSON,900,JIM JARMUSCH,2016,http://mubi.com/cast/jim-jarmusch,https://assets.mubi.com/images/film/149803/image-w384.jpg?1552299076
L'ENFANT,901,JEAN-PIERRE DARDENNE,2005,http://mubi.com/cast/jean-pierre-dardenne,https://assets.mubi.com/images/film/419/image-w384.jpg?1528448546
THE KID WITH A BIKE,902,JEAN-PIERRE DARDENNE,2011,http://mubi.com/cast/jean-pierre-dardenne,https://assets.mubi.com/images/film/41384/image-w384.jpg?1557820901
STARDUST MEMORIES,903,WOODY ALLEN,1980,http://mubi.com/cast/woody-allen,https://assets.mubi.com/images/film/491/image-w384.jpg?1558031207
THE FAVOURITE,904,YORGOS LANTHIMOS,2018,http://mubi.com/cast/yorgos-lanthimos,https://assets.mubi.com/images/film/155444/image-w384.jpg?1561307610
FORCE MAJEURE,905,RUBEN ÖSTLUND,2014,http://mubi.com/cast/ruben-ostlund,https://assets.mubi.com/images/film/114090/image-w384.jpg?1557475241
BENNY'S VIDEO,906,MICHAEL HANEKE,1992,http://mubi.com/cast/michael-haneke,https://assets.mubi.com/images/film/416/image-w384.jpg?1556901631
IRMA VEP,907,OLIVIER ASSAYAS,1996,http://mubi.com/cast/olivier-assayas,https://assets.mubi.com/images/film/931/image-w384.jpg?1512559643
THE WIND RISES,908,HAYAO MIYAZAKI,2013,http://mubi.com/cast/hayao-miyazaki,https://assets.mubi.com/images/film/108251/image-w384.jpg?1546822851
THE PROPOSITION,909,JOHN HILLCOAT,2005,http://mubi.com/cast/john-hillcoat,https://assets.mubi.com/images/film/3091/image-w384.jpg?1546822811
TOMBOY,910,CÉLINE SCIAMMA,2011,http://mubi.com/cast/celine-sciamma,https://assets.mubi.com/images/film/39499/image-w384.jpg?1551416409
DOCTOR ZHIVAGO,911,DAVID LEAN,1965,http://mubi.com/cast/david-lean,https://assets.mubi.com/images/film/4307/image-w384.jpg?1558195320
CAT ON A HOT TIN ROOF,912,RICHARD BROOKS,1958,http://mubi.com/cast/richard-brooks,https://assets.mubi.com/images/film/2007/image-w384.jpg?1546822819
CODE UNKNOWN: INCOMPLETE TALES OF SEVERAL JOURNEYS,913,MICHAEL HANEKE,2000,http://mubi.com/cast/michael-haneke,https://assets.mubi.com/images/film/1385/image-w384.jpg?1561025722
INTERIORS,914,WOODY ALLEN,1978,http://mubi.com/cast/woody-allen,https://assets.mubi.com/images/film/2306/image-w384.jpg?1546822810
MEEK'S CUTOFF,915,KELLY REICHARDT,2010,http://mubi.com/cast/kelly-reichardt,https://assets.mubi.com/images/film/31419/image-w384.jpg?1546611191
KRAMER VS. KRAMER,916,ROBERT BENTON,1979,http://mubi.com/cast/robert-benton,https://assets.mubi.com/images/film/7767/image-w384.jpg?1498800954
WHITE MATERIAL,917,CLAIRE DENIS,2009,http://mubi.com/cast/claire-denis,https://assets.mubi.com/images/film/4138/image-w384.jpg?1560830404
THE PLAYER,918,ROBERT ALTMAN,1992,http://mubi.com/cast/robert-altman,https://assets.mubi.com/images/film/10038/image-w384.jpg?1546822818
VICTORIA,919,SEBASTIAN SCHIPPER,2015,http://mubi.com/cast/sebastian-schipper,https://assets.mubi.com/images/film/119978/image-w384.jpg?1537508401
SHORT TERM 12,920,DESTIN DANIEL CRETTON,2013,http://mubi.com/cast/destin-cretton,https://assets.mubi.com/images/film/108520/image-w384.jpg?1542901547
INTO THE ABYSS,921,WERNER HERZOG,2011,http://mubi.com/cast/werner-herzog,https://assets.mubi.com/images/film/87581/image-w384.jpg?1546822839
I'M HERE,922,SPIKE JONZE,2010,http://mubi.com/cast/spike-jonze,https://assets.mubi.com/images/film/24220/image-w384.jpg?1546822810
GILDA,923,CHARLES VIDOR,1946,http://mubi.com/cast/charles-vidor,https://assets.mubi.com/images/film/2201/image-w384.jpg?1498800900
LAST LIFE IN THE UNIVERSE,924,PEN-EK RATANARUANG,2003,http://mubi.com/cast/pen-ek-ratanaruang,https://assets.mubi.com/images/film/387/image-w384.jpg?1546822816
DIARY OF A CHAMBERMAID,925,LUIS BUÑUEL,1964,http://mubi.com/cast/luis-bunuel,https://assets.mubi.com/images/film/656/image-w384.jpg?1552503609
SON OF SAUL,926,LÁSZLÓ NEMES,2015,http://mubi.com/cast/laszlo-nemes,https://assets.mubi.com/images/film/126430/image-w384.jpg?1548727237
DEAD ALIVE,927,PETER JACKSON,1992,http://mubi.com/cast/peter-jackson,https://assets.mubi.com/images/film/9220/image-w384.jpg?1546826446
CAPTURING THE FRIEDMANS,928,ANDREW JARECKI,2003,http://mubi.com/cast/andrew-jarecki,https://assets.mubi.com/images/film/1912/image-w384.jpg?1546826446
THE CHASER,929,NA HONG-JIN,2008,http://mubi.com/cast/na-hong-jin,https://assets.mubi.com/images/film/2774/image-w384.jpg?1551810025
A TOUCH OF SIN,930,JIA ZHANGKE,2013,http://mubi.com/cast/jia-zhangke,https://assets.mubi.com/images/film/104605/image-w384.jpg?1559073614
PAULINE AT THE BEACH,931,ÉRIC ROHMER,1983,http://mubi.com/cast/eric-rohmer,https://assets.mubi.com/images/film/2683/image-w384.jpg?1554811458
IN THE NAME OF THE FATHER,932,JIM SHERIDAN,1993,http://mubi.com/cast/jim-sheridan,https://assets.mubi.com/images/film/15136/image-w384.jpg?1546826446
NANOOK OF THE NORTH,933,ROBERT J. FLAHERTY,1922,http://mubi.com/cast/robert-j-flaherty,https://assets.mubi.com/images/film/574/image-w384.jpg?1546826446
DETOUR,934,EDGAR G. ULMER,1945,http://mubi.com/cast/edgar-g-ulmer,https://assets.mubi.com/images/film/9622/image-w384.jpg?1552386545
GEORGE WASHINGTON,935,DAVID GORDON GREEN,2000,http://mubi.com/cast/david-gordon-green,https://assets.mubi.com/images/film/691/image-w384.jpg?1497437238
BEYOND THE HILLS,936,CRISTIAN MUNGIU,2012,http://mubi.com/cast/cristian-mungiu,https://assets.mubi.com/images/film/97162/image-w384.jpg?1560211209
THE HOUSEMAID,937,KIM KI-YOUNG,1960,http://mubi.com/cast/kim-ki-young,https://assets.mubi.com/images/film/2039/image-w384.jpg?1547634787
MALCOLM X,938,SPIKE LEE,1992,http://mubi.com/cast/spike-lee,https://assets.mubi.com/images/film/9913/image-w384.jpg?1445919987
TRISTANA,939,LUIS BUÑUEL,1970,http://mubi.com/cast/luis-bunuel,https://assets.mubi.com/images/film/3038/image-w384.jpg?1553872539
MARINA ABRAMOVIĆ: THE ARTIST IS PRESENT,940,MATTHEW AKERS,2012,http://mubi.com/cast/matthew-akers,https://assets.mubi.com/images/film/93829/image-w384.jpg?1543395613
THE KING OF KONG: A FISTFUL OF QUARTERS,941,SETH GORDON,2007,http://mubi.com/cast/seth-gordon,https://assets.mubi.com/images/film/2295/image-w384.jpg?1546826446
THE PERVERT'S GUIDE TO CINEMA,942,SOPHIE FIENNES,2006,http://mubi.com/cast/sophie-fiennes,https://assets.mubi.com/images/film/1706/image-w384.jpg?1546826446
CENTRAL STATION,943,WALTER SALLES,1998,http://mubi.com/cast/walter-salles,https://assets.mubi.com/images/film/399/image-w384.jpg?1544004008
THIEF,944,MICHAEL MANN,1981,http://mubi.com/cast/michael-mann,https://assets.mubi.com/images/film/3204/image-w384.jpg?1546833610
ARSENIC AND OLD LACE,945,FRANK CAPRA,1944,http://mubi.com/cast/frank-capra,https://assets.mubi.com/images/film/13980/image-w384.jpg?1546833636
I WALKED WITH A ZOMBIE,946,JACQUES TOURNEUR,1943,http://mubi.com/cast/jacques-tourneur,https://assets.mubi.com/images/film/2209/image-w384.jpg?1546833636
GREAT EXPECTATIONS,947,DAVID LEAN,1946,http://mubi.com/cast/david-lean,https://assets.mubi.com/images/film/566/image-w384.jpg?1557310291
CEMETERY OF SPLENDOUR,948,APICHATPONG WEERASETHAKUL,2015,http://mubi.com/cast/apichatpong-weerasethakul,https://assets.mubi.com/images/film/119706/image-w384.jpg?1557115203
WOODSTOCK,949,MICHAEL WADLEIGH,1970,http://mubi.com/cast/michael-wadleigh,https://assets.mubi.com/images/film/3595/image-w384.jpg?1556252885
THE HAUNTING,950,ROBERT WISE,1963,http://mubi.com/cast/robert-wise,https://assets.mubi.com/images/film/8539/image-w384.jpg?1557756084
LA POINTE COURTE,951,AGNÈS VARDA,1955,http://mubi.com/cast/agnes-varda,https://assets.mubi.com/images/film/524/image-w384.jpg?1551600003
REGULAR LOVERS,952,PHILIPPE GARREL,2005,http://mubi.com/cast/philippe-garrel,https://assets.mubi.com/images/film/155/image-w384.jpg?1546837240
A ZED AND TWO NOUGHTS,953,PETER GREENAWAY,1985,http://mubi.com/cast/peter-greenaway,https://assets.mubi.com/images/film/2678/image-w384.jpg?1546840811
A MARRIED WOMAN,954,JEAN-LUC GODARD,1964,http://mubi.com/cast/jean-luc-godard,https://assets.mubi.com/images/film/3913/image-w384.jpg?1546840813
BURNING,955,LEE CHANG-DONG,2018,http://mubi.com/cast/lee-chang-dong,https://assets.mubi.com/images/film/182499/image-w384.jpg?1550958546
ALL ABOUT LILY CHOU-CHOU,956,SHUNJI IWAI,2001,http://mubi.com/cast/shunji-iwai,https://assets.mubi.com/images/film/334/image-w384.jpg?1546840813
FEMALE TROUBLE,957,JOHN WATERS,1974,http://mubi.com/cast/john-waters,https://assets.mubi.com/images/film/20419/image-w384.jpg?1531576529
MY LIFE AS A DOG,958,LASSE HALLSTRÖM,1985,http://mubi.com/cast/lasse-hallstrom,https://assets.mubi.com/images/film/727/image-w384.jpg?1550584807
A SUMMER'S TALE,959,ÉRIC ROHMER,1996,http://mubi.com/cast/eric-rohmer,https://assets.mubi.com/images/film/1789/image-w384.jpg?1559044305
DEAD MAN'S SHOES,960,SHANE MEADOWS,2004,http://mubi.com/cast/shane-meadows,https://assets.mubi.com/images/film/2285/image-w384.jpg?1560966795
THE CASTLE OF CAGLIOSTRO,961,HAYAO MIYAZAKI,1979,http://mubi.com/cast/hayao-miyazaki,https://assets.mubi.com/images/film/23606/image-w384.jpg?1546844451
DEAR ZACHARY,962,KURT KUENNE,2008,http://mubi.com/cast/kurt-kuenne,https://assets.mubi.com/images/film/25983/image-w384.jpg?1546840814
TRAFIC,963,JACQUES TATI,1971,http://mubi.com/cast/jacques-tati,https://assets.mubi.com/images/film/859/image-w384.jpg?1547004598
THE BIG FEAST,964,MARCO FERRERI,1973,http://mubi.com/cast/marco-ferreri,https://assets.mubi.com/images/film/15458/image-w384.jpg?1551171612
PURPLE NOON,965,RENÉ CLÉMENT,1960,http://mubi.com/cast/rene-clement,https://assets.mubi.com/images/film/3544/image-w384.jpg?1546844459
REBELS OF THE NEON GOD,966,TSAI MING-LIANG,1992,http://mubi.com/cast/tsai-ming-liang,https://assets.mubi.com/images/film/20896/image-w384.jpg?1546844410
THAT MOST IMPORTANT THING: LOVE,967,ANDRZEJ ŻUŁAWSKI,1975,http://mubi.com/cast/andrzej-zulawski,https://assets.mubi.com/images/film/15446/image-w384.jpg?1547476559
IMPORT/EXPORT,968,ULRICH SEIDL,2007,http://mubi.com/cast/ulrich-seidl,https://assets.mubi.com/images/film/2775/image-w384.jpg?1559037738
THE SECRET OF THE GRAIN,969,ABDELLATIF KECHICHE,2007,http://mubi.com/cast/abdellatif-kechiche,https://assets.mubi.com/images/film/1344/image-w384.jpg?1544007661
"DUCK, YOU SUCKER",970,SERGIO LEONE,1971,http://mubi.com/cast/sergio-leone,https://assets.mubi.com/images/film/6366/image-w384.jpg?1546844451
OEDIPUS REX,971,PIER PAOLO PASOLINI,1967,http://mubi.com/cast/pier-paolo-pasolini,https://assets.mubi.com/images/film/3539/image-w384.jpg?1556694039
DEEP END,972,JERZY SKOLIMOWSKI,1970,http://mubi.com/cast/jerzy-skolimowski,https://assets.mubi.com/images/film/4298/image-w384.jpg?1551168036
PHOENIX,973,CHRISTIAN PETZOLD,2014,http://mubi.com/cast/christian-petzold,https://assets.mubi.com/images/film/116508/image-w384.jpg?1551247235
HARD TO BE A GOD,974,ALEKSEI GERMAN,2013,http://mubi.com/cast/aleksei-german,https://assets.mubi.com/images/film/113447/image-w384.jpg?1549454408
THE FALLEN IDOL,975,CAROL REED,1948,http://mubi.com/cast/carol-reed,https://assets.mubi.com/images/film/346/image-w384.jpg?1543450928
STRAY DOGS,976,TSAI MING-LIANG,2013,http://mubi.com/cast/tsai-ming-liang,https://assets.mubi.com/images/film/108918/image-w384.jpg?1546607877
TOKYO-GA,977,WIM WENDERS,1985,http://mubi.com/cast/wim-wenders,https://assets.mubi.com/images/film/1134/image-w384.jpg?1550217609
MIKEY AND NICKY,978,ELAINE MAY,1976,http://mubi.com/cast/elaine-may,https://assets.mubi.com/images/film/2365/image-w384.jpg?1553529615
MY ONLY SUNSHINE,979,REHA ERDEM,2008,http://mubi.com/cast/reha-erdem,https://assets.mubi.com/images/film/1440/image-w384.jpg?1552300717
SELF-CRITICISM OF A BOURGEOIS DOG,980,JULIAN RADLMAIER,2017,http://mubi.com/cast/julian-radlmaier,https://assets.mubi.com/images/film/163418/image-w384.jpg?1546844411
BAD HAIR,981,MARIANA RONDON,2013,http://mubi.com/cast/mariana-rondon,https://assets.mubi.com/images/film/108886/image-w384.jpg?1560349721
EYES WIDE SHUT,982,STANLEY KUBRICK,1999,http://mubi.com/cast/stanley-kubrick,https://assets.mubi.com/images/film/322/image-w384.jpg?1546844416
JACKIE BROWN,983,QUENTIN TARANTINO,1997,http://mubi.com/cast/quentin-tarantino,https://assets.mubi.com/images/film/1050/image-w384.jpg?1509626070
ZODIAC,984,DAVID FINCHER,2007,http://mubi.com/cast/david-fincher,https://assets.mubi.com/images/film/1779/image-w384.jpg?1546844468
THE PRESTIGE,985,CHRISTOPHER NOLAN,2006,http://mubi.com/cast/christopher-nolan,https://assets.mubi.com/images/film/1898/image-w384.jpg?1546844453
INTO THE WILD,986,SEAN PENN,2007,http://mubi.com/cast/sean-penn,https://assets.mubi.com/images/film/340/image-w384.jpg?1546844415
DJANGO UNCHAINED,987,QUENTIN TARANTINO,2012,http://mubi.com/cast/quentin-tarantino,https://assets.mubi.com/images/film/97340/image-w384.jpg?1546844414
"CROUCHING TIGER, HIDDEN DRAGON",988,ANG LEE,2000,http://mubi.com/cast/ang-lee,https://assets.mubi.com/images/film/1872/image-w384.jpg?1546844468
DAZED AND CONFUSED,989,RICHARD LINKLATER,1993,http://mubi.com/cast/richard-linklater,https://assets.mubi.com/images/film/314/image-w384.jpg?1550743234
THE BREAKFAST CLUB,990,JOHN HUGHES,1985,http://mubi.com/cast/john-hughes,https://assets.mubi.com/images/film/3371/image-w384.jpg?1555608337
GHOST WORLD,991,TERRY ZWIGOFF,2001,http://mubi.com/cast/terry-zwigoff,https://assets.mubi.com/images/film/1834/image-w384.jpg?1560956242
BLUE VALENTINE,992,DEREK CIANFRANCE,2010,http://mubi.com/cast/derek-cianfrance,https://assets.mubi.com/images/film/21804/image-w384.jpg?1546844459
INLAND EMPIRE,993,DAVID LYNCH,2006,http://mubi.com/cast/david-lynch,https://assets.mubi.com/images/film/102/image-w384.jpg?1554821910
TOY STORY 2,994,JOHN LASSETER,1999,http://mubi.com/cast/john-lasseter,https://assets.mubi.com/images/film/3036/image-w384.jpg?1559178050
CARRIE,995,BRIAN DE PALMA,1976,http://mubi.com/cast/brian-de-palma,https://assets.mubi.com/images/film/3443/image-w384.jpg?1546844417
LAST TANGO IN PARIS,996,BERNARDO BERTOLUCCI,1972,http://mubi.com/cast/bernardo-bertolucci,https://assets.mubi.com/images/film/427/image-w384.jpg?1546844423
THE LOBSTER,997,YORGOS LANTHIMOS,2015,http://mubi.com/cast/yorgos-lanthimos,https://assets.mubi.com/images/film/119771/image-w384.jpg?1558348664
NAKED LUNCH,998,DAVID CRONENBERG,1991,http://mubi.com/cast/david-cronenberg,https://assets.mubi.com/images/film/634/image-w384.jpg?1535545263
"SALÒ, OR THE 120 DAYS OF SODOM",999,PIER PAOLO PASOLINI,1975,http://mubi.com/cast/pier-paolo-pasolini,https://assets.mubi.com/images/film/532/image-w384.jpg?1546844412
JURASSIC PARK,1000,STEVEN SPIELBERG,1993,http://mubi.com/cast/steven-spielberg,https://assets.mubi.com/images/film/19690/image-w384.jpg?1555988432
